season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,1,34B93E2CB010,Kaleb Johnson,PIT,NYJ,1,-2,0,0,0,0,0,0.5
2025,1,10AC7112CD7F,DJ Giddens,IND,MIA,12,41,0,0,0,0,0,7.6
2025,1,0D8DCC599173,Dylan Sampson,CLV,CIN,12,29,0,8,64,0,8,21.1
2025,1,C31BEA33DDAC,Braelon Allen,NYJ,PIT,6,9,1,0,0,0,0,5.5
2025,1,7C6EC2BA7D22,Sean Tucker,TB,ATL,1,2,0,0,0,0,0,0.5
2025,1,8CB22327EDF8,Devin Singletary,NYG,WAS,3,9,0,0,0,0,0,1.5
2025,1,F907829075A8,Najee Harris,LAC,KC,1,5,0,1,5,0,1,2.0
2025,1,C2AB9346AF78,Chris Brooks,GB,DET,1,1,0,1,2,0,1,2.8
2025,1,0DC63967C217,Rasheen Ali,BLT,BUF,1,5,0,0,0,0,0,1.4
2025,1,79F7D6DE9121,Antonio Gibson,NE,LV,1,3,0,0,0,0,1,2.0
2025,1,B0C1AF0BED90,Tony Pollard,TEN,DEN,18,60,0,1,29,0,1,12.9
2025,1,95E9EB9FC5D5,James Cook,BUF,BLT,13,44,1,5,58,0,5,17.2
2025,1,4182CF74863A,Saquon Barkley,PHI,DAL,18,60,1,4,24,0,5,20.5
2025,1,9E79453DBB7F,Kendre Miller,NO,ARZ,5,24,0,0,0,0,0,2.5
2025,1,C69F491B5964,Jonathan Taylor,IND,MIA,18,71,0,3,27,0,3,19.3
2025,1,B6356D3BA0C1,Rhamondre Stevenson,NE,LV,7,15,0,2,12,0,3,8.7
2025,1,15623D89EFE6,Kenneth Walker,SEA,SF,10,20,0,3,4,0,3,11.1
2025,1,386012FE709A,Ty Johnson,BUF,BLT,2,24,0,0,0,0,1,3.3
2025,1,867D259AFE66,Woody Marks,HST,LA,3,3,0,0,0,0,0,1.5
2025,1,5CC2D78CE9DF,Derrick Henry,BLT,BUF,18,169,2,1,13,0,1,10.3
2025,1,A1FAE334F0D8,RJ Harvey,DEN,TEN,6,70,0,1,-1,0,1,4.4
2025,1,252BBD0E44CB,Isiah Pacheco,KC,LAC,5,25,0,2,3,0,3,7.8
2025,1,3FD38A096C3E,Will Shipley,PHI,DAL,3,26,0,0,0,0,0,1.5
2025,1,6D972577702C,Devin Neal,NO,ARZ,2,9,0,0,0,0,0,1.0
2025,1,499F9621F45B,Justice Hill,BLT,BUF,2,-14,0,1,3,0,2,4.8
