season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,2,7742FDE5104E,Cam Skattebo,NYG,DAL,11,45,1,2,14,0,3,14.9
2025,2,4CFA1FDF18BF,Brashard Smith,KC,PHI,1,2,0,0,0,0,1,2.0
2025,2,F849C1013F23,Blake Corum,LA,TEN,5,44,1,0,0,0,0,5.0
2025,2,08EB70FAE886,J.K. Dobbins,DEN,IND,14,76,1,1,9,0,2,13.3
2025,2,C3BA2C2AB960,Jacory Croskey-Merritt,WAS,GB,4,17,0,0,0,0,1,3.4
2025,2,DA18E0046DFA,Josh Jacobs,GB,WAS,23,84,1,0,0,0,0,16.4
2025,2,E79D9F42E18A,Ollie Gordon,MIA,NE,1,8,0,1,5,0,1,2.0
2025,2,1432C4BBD3FE,Tyrone Tracy,NYG,DAL,5,15,0,4,36,0,5,9.9
2025,2,5165588C71D0,Chuba Hubbard,CAR,ARZ,10,38,0,5,39,1,6,14.6
2025,2,E853FA859020,James Conner,ARZ,CAR,11,34,1,1,18,0,1,9.5
2025,2,BEDDEFF1F411,Alvin Kamara,NO,SF,21,99,0,6,21,0,6,21.8
2025,2,2C4D2F6B9AEB,Kyren Williams,LA,TEN,17,66,0,2,14,0,2,14.7
2025,2,DF29A0C08233,Rachaad White,TB,HST,10,65,1,2,1,0,2,9.6
2025,2,F374F0B43079,Austin Ekeler,WAS,GB,8,17,0,2,7,0,4,9.8
2025,2,9DBA159B2F4B,Brian Robinson,SF,NO,6,20,0,1,-1,0,1,4.4
2025,2,7F3C2960FE88,Travis Etienne,JAX,CIN,14,71,0,2,18,1,3,17.2
2025,2,285FED1E9667,Rico Dowdle,CAR,ARZ,6,9,0,1,10,0,1,6.1
2025,2,9BB4581CF866,Jordan Mason,MIN,ATL,9,30,0,2,8,0,3,8.8
2025,2,D15FA71532C4,Quinshon Judkins,CLV,BLT,10,61,0,3,10,0,3,9.3
2025,2,043044E82406,Jaylen Warren,PIT,SEA,14,48,0,4,86,0,4,15.4
2025,2,FAFDB0D08C29,Zach Charbonnet,SEA,PIT,15,10,0,0,0,0,0,9.1
2025,2,F7B061F16861,Zamir White,LV,LAC,2,-2,0,2,15,0,3,5.4
2025,2,C217D13D16D1,TreVeyon Henderson,NE,MIA,3,10,0,2,30,0,2,5.3
2025,2,1B0A0CB1A3AE,Trey Benson,ARZ,CAR,3,14,0,4,30,0,4,8.2
2025,2,FD7D4AECD100,LeQuint Allen,JAX,CIN,2,13,0,0,0,0,0,1.8
2025,2,46A3AB6D71AB,Aaron Jones,MIN,ATL,5,23,0,0,0,0,1,3.9
2025,2,74C759828F4B,Ray Davis,BUF,NYJ,9,24,0,0,0,0,0,5.3
2025,2,B4C115479244,D'Andre Swift,CHI,DET,12,63,1,3,6,0,3,11.2
2025,2,CAA3949E7F84,Bhayshul Tuten,JAX,CIN,8,42,0,2,32,1,2,8.6
2025,2,3C11932DD1C0,Javonte Williams,DAL,NYG,18,97,1,6,33,0,6,19.4
2025,2,AE5656365044,Christian McCaffrey,SF,NO,13,55,0,6,52,1,7,19.2
2025,2,2E7D2A105EDD,Kareem Hunt,KC,PHI,8,31,0,1,3,0,1,7.1
2025,2,F7799C6FF658,AJ Dillon,PHI,KC,3,19,0,0,0,0,0,2.3
2025,2,8521C53B1B22,Ashton Jeanty,LV,LAC,11,43,0,3,1,0,4,13.8
2025,2,273558699F22,Miles Sanders,DAL,NYG,5,15,1,2,4,0,2,7.1
2025,2,CF61FE77A2B5,Tyler Allgeier,ATL,MIN,16,76,1,1,4,0,1,13.6
2025,2,504C2B1E4DFB,De'Von Achane,MIA,NE,11,30,0,8,92,1,10,20.2
2025,2,0940495BC15F,Craig Reynolds,DET,CHI,3,4,0,0,0,0,0,1.5
2025,2,8407D6E02600,Bijan Robinson,ATL,MIN,22,143,0,3,25,0,5,23.2
2025,2,81D05F6E182B,Jerome Ford,CLV,BLT,6,31,0,5,23,0,6,11.8
2025,2,E7488DE1380B,Nick Chubb,HST,TB,12,43,1,2,29,0,2,10.6
2025,2,1BD0C4B968DD,Jahmyr Gibbs,DET,CHI,12,94,1,3,10,0,3,14.6
2025,2,DE0D0BBF924B,Breece Hall,NYJ,BUF,10,29,0,2,9,0,2,7.9
2025,2,E2538E4447A0,Chase Brown,CIN,JAX,16,47,0,2,18,0,3,14.9
2025,2,B4D6AE0E5FE9,David Montgomery,DET,CHI,11,57,1,1,4,0,1,11.2
2025,2,457CD877879B,Kenneth Gainwell,PIT,SEA,5,20,0,3,16,0,5,10.7
2025,2,E3D4C99825DA,Bucky Irving,TB,HST,17,71,0,6,50,0,6,18.1
2025,2,FA276FD857AC,Omarion Hampton,LAC,LV,8,24,0,1,1,0,2,10.3
2025,2,252BBD0E44CB,Isiah Pacheco,KC,PHI,10,22,0,1,7,0,2,8.7
2025,2,A1FAE334F0D8,RJ Harvey,DEN,IND,5,8,0,1,16,0,2,5.4
2025,2,499F9621F45B,Justice Hill,BLT,CLV,3,7,0,3,18,0,3,5.9
2025,2,5CC2D78CE9DF,Derrick Henry,BLT,CLV,11,23,0,0,0,0,0,7.1
2025,2,867D259AFE66,Woody Marks,HST,TB,3,14,0,1,37,0,1,3.0
2025,2,15623D89EFE6,Kenneth Walker,SEA,PIT,13,105,1,1,13,0,1,10.4
2025,2,B6356D3BA0C1,Rhamondre Stevenson,NE,MIA,11,54,0,5,88,0,5,14.5
2025,2,9E79453DBB7F,Kendre Miller,NO,SF,5,8,0,1,2,0,1,4.8
2025,2,C69F491B5964,Jonathan Taylor,IND,DEN,25,165,0,2,50,1,2,19.5
2025,2,386012FE709A,Ty Johnson,BUF,NYJ,2,6,0,0,0,0,1,3.3
2025,2,4182CF74863A,Saquon Barkley,PHI,KC,22,88,1,2,6,0,2,16.3
2025,2,B0C1AF0BED90,Tony Pollard,TEN,LA,20,92,0,0,0,0,1,11.3
2025,2,79F7D6DE9121,Antonio Gibson,NE,MIA,5,27,0,1,1,0,1,4.8
2025,2,95E9EB9FC5D5,James Cook,BUF,NYJ,21,132,2,1,3,0,1,17.7
2025,2,F907829075A8,Najee Harris,LAC,LV,8,28,0,2,20,0,2,7.7
2025,2,8CB22327EDF8,Devin Singletary,NYG,DAL,1,4,0,1,-4,0,1,2.0
2025,2,0D8DCC599173,Dylan Sampson,CLV,BLT,4,6,0,3,13,1,3,7.2
2025,2,C31BEA33DDAC,Braelon Allen,NYJ,BUF,2,11,0,0,0,0,1,4.1
2025,2,34B93E2CB010,Kaleb Johnson,PIT,SEA,1,1,0,0,0,0,0,0.5
2025,2,CAFEDE7F7BC7,Kyle Monangai,CHI,DET,7,28,0,1,8,0,2,7.2
2025,2,73187A941E30,Tyler Badie,DEN,IND,1,3,0,2,19,0,2,3.5
