season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,4,CAFEDE7F7BC7,Kyle Monangai,CHI,LV,4,18,0,0,0,0,0,2.8
2025,4,34B93E2CB010,Kaleb Johnson,PIT,MIN,6,22,0,0,0,0,1,6.1
2025,4,7A7D9CE2C60D,Zavier Scott,MIN,PIT,2,1,0,6,43,1,7,13.0
2025,4,0D8DCC599173,Dylan Sampson,CLV,DET,1,-2,0,0,0,0,1,2.0
2025,4,C31BEA33DDAC,Braelon Allen,NYJ,MIA,4,26,0,0,0,0,0,3.7
2025,4,8CB22327EDF8,Devin Singletary,NYG,LAC,7,28,0,0,0,0,0,4.3
2025,4,E39D01A0F997,Chris Rodriguez,WAS,ATL,7,59,0,0,0,0,0,5.2
2025,4,B0C1AF0BED90,Tony Pollard,TEN,HST,14,64,0,3,12,0,3,11.3
2025,4,95E9EB9FC5D5,James Cook,BUF,NO,22,117,1,3,18,0,4,21.0
2025,4,4182CF74863A,Saquon Barkley,PHI,TB,19,43,1,4,31,0,4,17.8
2025,4,79F7D6DE9121,Antonio Gibson,NE,CAR,6,27,1,0,0,0,0,4.7
2025,4,AFF99F5CE36B,Hunter Luepke,DAL,GB,1,6,0,0,0,0,1,2.0
2025,4,386012FE709A,Ty Johnson,BUF,NO,1,0,0,0,0,0,0,0.5
2025,4,B6356D3BA0C1,Rhamondre Stevenson,NE,CAR,9,38,0,1,3,0,1,7.6
2025,4,9E79453DBB7F,Kendre Miller,NO,BUF,11,65,1,0,0,0,0,8.8
2025,4,C69F491B5964,Jonathan Taylor,IND,LA,17,76,0,5,20,0,5,16.6
2025,4,867D259AFE66,Woody Marks,HST,TEN,17,69,1,4,50,1,5,17.4
2025,4,15623D89EFE6,Kenneth Walker,SEA,ARZ,19,81,0,1,29,0,2,14.0
2025,4,C6004442AACB,Adam Prentice,DEN,CIN,1,4,0,0,0,0,0,1.4
2025,4,5CC2D78CE9DF,Derrick Henry,BLT,KC,8,42,0,2,16,0,2,8.6
2025,4,499F9621F45B,Justice Hill,BLT,KC,3,76,1,5,41,1,6,12.0
2025,4,252BBD0E44CB,Isiah Pacheco,KC,BLT,7,35,0,2,13,1,3,11.2
2025,4,A1FAE334F0D8,RJ Harvey,DEN,CIN,14,58,0,4,40,1,5,17.6
2025,4,E3D4C99825DA,Bucky Irving,TB,PHI,15,63,0,5,102,1,5,16.4
2025,4,FA276FD857AC,Omarion Hampton,LAC,NYG,12,128,1,5,37,0,5,13.3
2025,4,45C2510D9C7A,Julius Chestnut,TEN,HST,1,0,0,0,0,0,1,2.0
2025,4,B4D6AE0E5FE9,David Montgomery,DET,CLV,9,12,0,0,0,0,1,7.6
2025,4,457CD877879B,Kenneth Gainwell,PIT,MIN,19,99,2,6,35,0,6,25.8
2025,4,A47556DD0441,Michael Carter,ARZ,SEA,1,1,0,0,0,0,0,0.5
2025,4,1BD0C4B968DD,Jahmyr Gibbs,DET,CLV,15,91,1,2,6,0,2,13.8
2025,4,34FCDEBD8C4F,Emanuel Wilson,GB,DAL,8,44,0,3,37,0,3,10.9
2025,4,DE0D0BBF924B,Breece Hall,NYJ,MIA,14,81,0,5,30,0,6,16.6
2025,4,E2538E4447A0,Chase Brown,CIN,DEN,10,40,0,3,31,0,3,10.2
2025,4,81D05F6E182B,Jerome Ford,CLV,DET,1,-1,0,1,4,0,2,3.5
2025,4,E7488DE1380B,Nick Chubb,HST,TEN,13,47,0,2,15,0,2,9.3
2025,4,CF61FE77A2B5,Tyler Allgeier,ATL,WAS,16,51,1,0,0,0,0,11.3
2025,4,8407D6E02600,Bijan Robinson,ATL,WAS,17,75,1,4,106,0,5,19.9
2025,4,504C2B1E4DFB,De'Von Achane,MIA,NYJ,20,99,1,1,2,0,2,17.0
