season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,5,7A7D9CE2C60D,Zavier Scott,MIN,CLV,5,18,0,0,0,0,0,2.5
2025,5,7742FDE5104E,Cam Skattebo,NYG,NO,15,59,0,6,45,0,6,18.8
2025,5,F849C1013F23,Blake Corum,LA,SF,1,13,0,0,0,0,2,4.3
2025,5,9F42C0D50B5E,Ameer Abdullah,IND,LV,2,6,1,0,0,0,0,2.7
2025,5,1BD716CE8711,Raheem Mostert,LV,IND,7,22,0,0,0,0,0,4.3
2025,5,FF77C4DDF674,Jeremy McNichols,WAS,LAC,1,6,0,1,12,0,2,3.5
2025,5,E79D9F42E18A,Ollie Gordon,MIA,CAR,3,-2,0,0,0,0,0,1.5
2025,5,4CFA1FDF18BF,Brashard Smith,KC,JAX,1,4,0,3,32,0,3,5.8
2025,5,C3BA2C2AB960,Jacory Croskey-Merritt,WAS,LAC,14,111,2,2,39,0,2,12.4
2025,5,08EB70FAE886,J.K. Dobbins,DEN,PHI,20,79,1,1,5,0,1,14.7
2025,5,DF29A0C08233,Rachaad White,TB,SEA,14,41,2,4,30,0,4,17.0
2025,5,018F0E604E55,Kyle Juszczyk,SF,LA,1,-1,0,3,21,0,4,7.3
2025,5,7F3C2960FE88,Travis Etienne,JAX,KC,12,49,0,3,9,0,4,15.2
2025,5,9DB14AD86BE7,Tyjae Spears,TEN,ARZ,4,14,0,0,0,0,0,2.0
2025,5,2C4D2F6B9AEB,Kyren Williams,LA,SF,14,65,0,8,66,2,10,28.3
2025,5,BEDDEFF1F411,Alvin Kamara,NO,NYG,8,27,0,4,28,0,6,16.1
2025,5,A8F4487657F7,Keaton Mitchell,BLT,HST,3,8,0,1,5,0,1,3.8
2025,5,9BB4581CF866,Jordan Mason,MIN,CLV,13,52,1,3,4,0,4,14.0
2025,5,9DBA159B2F4B,Brian Robinson,SF,LA,5,12,0,0,0,0,0,2.5
2025,5,285FED1E9667,Rico Dowdle,CAR,MIA,23,206,1,3,28,0,4,20.6
2025,5,C217D13D16D1,TreVeyon Henderson,NE,BUF,6,24,0,2,3,0,3,8.2
2025,5,B05C9EC9F844,Emari Demercado,ARZ,TEN,3,81,0,0,0,0,0,1.5
2025,5,D15FA71532C4,Quinshon Judkins,CLV,MIN,23,110,0,1,18,0,2,20.2
2025,5,FAFDB0D08C29,Zach Charbonnet,SEA,TB,9,36,1,1,12,0,2,9.9
2025,5,74C759828F4B,Ray Davis,BUF,NE,2,1,0,0,0,0,0,1.8
2025,5,CAA3949E7F84,Bhayshul Tuten,JAX,KC,4,6,0,1,5,0,1,5.2
2025,5,8A108F1261E5,Trevor Etienne,CAR,MIA,4,22,0,1,7,0,1,4.3
2025,5,2E7D2A105EDD,Kareem Hunt,KC,JAX,7,49,2,1,8,0,1,8.3
2025,5,F7799C6FF658,AJ Dillon,PHI,DEN,2,12,0,0,0,0,0,1.8
2025,5,3C11932DD1C0,Javonte Williams,DAL,NYJ,16,135,1,1,4,1,2,15.1
2025,5,AE5656365044,Christian McCaffrey,SF,LA,22,57,0,8,82,1,8,27.7
2025,5,B874022ADD1B,Isaiah Davis,NYJ,DAL,1,5,0,3,28,0,4,6.4
2025,5,8521C53B1B22,Ashton Jeanty,LV,IND,14,67,0,5,42,0,6,17.4
2025,5,E7488DE1380B,Nick Chubb,HST,BLT,11,61,1,0,0,0,1,8.6
2025,5,9DB7F7D46227,Samaje Perine,CIN,DET,4,27,0,2,2,0,2,5.7
2025,5,0A1433C3C408,Kimani Vidal,LAC,WAS,4,18,0,1,1,0,1,6.0
2025,5,DE0D0BBF924B,Breece Hall,NYJ,DAL,14,113,0,4,42,0,4,14.4
2025,5,504C2B1E4DFB,De'Von Achane,MIA,CAR,10,16,0,6,30,1,7,17.8
2025,5,DC0C7D33739A,Dameon Pierce,HST,BLT,7,21,0,0,0,0,0,3.4
2025,5,E2538E4447A0,Chase Brown,CIN,DET,8,27,0,7,21,0,8,15.8
2025,5,1BD0C4B968DD,Jahmyr Gibbs,DET,CIN,12,54,0,2,33,1,2,13.9
2025,5,81D05F6E182B,Jerome Ford,CLV,MIN,5,18,0,2,20,0,2,7.1
2025,5,A47556DD0441,Michael Carter,ARZ,TEN,18,51,1,5,22,0,5,17.9
2025,5,FA276FD857AC,Omarion Hampton,LAC,WAS,12,44,0,6,26,0,6,16.5
2025,5,B4D6AE0E5FE9,David Montgomery,DET,CIN,18,65,1,1,6,0,1,16.3
2025,5,45C2510D9C7A,Julius Chestnut,TEN,ARZ,1,3,0,0,0,0,1,2.0
2025,5,499F9621F45B,Justice Hill,BLT,HST,1,3,0,1,9,0,2,3.5
2025,5,A1FAE334F0D8,RJ Harvey,DEN,PHI,4,12,0,3,18,0,3,6.4
2025,5,C6004442AACB,Adam Prentice,DEN,PHI,1,8,0,0,0,0,0,0.5
2025,5,5CC2D78CE9DF,Derrick Henry,BLT,HST,15,33,1,0,0,0,1,11.4
2025,5,3E409FB10924,British Brooks,HST,BLT,2,15,0,0,0,0,0,1.0
2025,5,252BBD0E44CB,Isiah Pacheco,KC,JAX,7,36,0,3,20,0,3,7.9
2025,5,3FD38A096C3E,Will Shipley,PHI,DEN,1,0,0,1,4,0,1,2.0
2025,5,B6356D3BA0C1,Rhamondre Stevenson,NE,BUF,7,14,2,2,13,0,2,9.0
2025,5,9E79453DBB7F,Kendre Miller,NO,NYG,10,41,0,1,8,0,1,6.4
2025,5,C69F491B5964,Jonathan Taylor,IND,LV,17,66,3,3,20,0,4,22.8
2025,5,867D259AFE66,Woody Marks,HST,BLT,7,24,0,0,0,0,1,6.6
2025,5,15623D89EFE6,Kenneth Walker,SEA,TB,10,86,0,1,0,0,1,8.1
2025,5,4182CF74863A,Saquon Barkley,PHI,DEN,6,30,0,3,58,1,3,7.4
2025,5,590F904F7A69,Bam Knight,ARZ,TEN,4,11,1,1,13,0,1,5.2
2025,5,672AD22782C5,Hassan Haskins,LAC,WAS,5,13,0,1,2,0,1,3.9
2025,5,E39D01A0F997,Chris Rodriguez,WAS,LAC,5,7,0,0,0,0,0,5.9
2025,5,B0C1AF0BED90,Tony Pollard,TEN,ARZ,14,67,1,3,11,0,3,13.0
2025,5,95E9EB9FC5D5,James Cook,BUF,NE,15,49,0,0,0,0,1,11.4
2025,5,386012FE709A,Ty Johnson,BUF,NE,2,10,0,0,0,0,0,1.8
2025,5,7C6EC2BA7D22,Sean Tucker,TB,SEA,3,3,0,3,-4,0,3,7.6
2025,5,10AC7112CD7F,DJ Giddens,IND,LV,5,22,0,0,0,0,1,3.9
2025,5,674496EEE5BB,Jaydon Blue,DAL,NYJ,4,7,0,0,0,0,0,2.0
2025,5,0D8DCC599173,Dylan Sampson,CLV,MIN,1,-4,0,1,6,0,1,2.0
2025,5,79F7D6DE9121,Antonio Gibson,NE,BUF,6,21,0,1,5,0,1,5.3
2025,5,8CB22327EDF8,Devin Singletary,NYG,NO,6,20,0,1,4,0,2,5.9
