season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,6,1BD716CE8711,Raheem Mostert,LV,TEN,5,-4,0,0,0,0,0,4.2
2025,6,34B93E2CB010,Kaleb Johnson,PIT,CLV,6,15,0,0,0,0,0,2.9
2025,6,CAFEDE7F7BC7,Kyle Monangai,CHI,WAS,5,19,0,1,25,0,1,4.8
2025,6,8CB22327EDF8,Devin Singletary,NYG,PHI,3,10,0,0,0,0,0,1.5
2025,6,674496EEE5BB,Jaydon Blue,DAL,CAR,3,0,0,0,0,0,0,1.5
2025,6,0D8DCC599173,Dylan Sampson,CLV,PIT,3,12,0,2,12,0,2,4.4
2025,6,7C6EC2BA7D22,Sean Tucker,TB,SF,6,25,1,0,0,0,0,3.8
2025,6,95E9EB9FC5D5,James Cook,BUF,ATL,17,87,0,0,0,0,0,9.2
2025,6,C2AB9346AF78,Chris Brooks,GB,CIN,1,1,0,0,0,0,0,0.5
2025,6,B0C1AF0BED90,Tony Pollard,TEN,LV,10,34,0,2,13,0,2,8.7
2025,6,672AD22782C5,Hassan Haskins,LAC,MIA,6,14,0,1,9,0,1,5.3
2025,6,386012FE709A,Ty Johnson,BUF,ATL,1,5,0,1,11,0,2,3.5
2025,6,4182CF74863A,Saquon Barkley,PHI,NYG,12,58,0,2,9,0,3,12.0
2025,6,15623D89EFE6,Kenneth Walker,SEA,JAX,10,34,0,1,3,0,1,8.1
2025,6,590F904F7A69,Bam Knight,ARZ,IND,11,34,1,1,20,0,2,10.9
2025,6,9E79453DBB7F,Kendre Miller,NO,NE,8,21,0,1,11,0,1,5.4
2025,6,C69F491B5964,Jonathan Taylor,IND,ARZ,21,123,1,4,14,0,4,20.5
2025,6,B6356D3BA0C1,Rhamondre Stevenson,NE,NO,13,18,0,0,0,0,1,9.6
2025,6,252BBD0E44CB,Isiah Pacheco,KC,DET,12,51,0,1,0,0,3,13.8
2025,6,5CC2D78CE9DF,Derrick Henry,BLT,LA,24,122,0,1,8,0,2,19.0
2025,6,C6004442AACB,Adam Prentice,DEN,NYJ,1,3,0,0,0,0,0,0.5
2025,6,A1FAE334F0D8,RJ Harvey,DEN,NYJ,2,4,0,4,21,0,4,6.9
2025,6,499F9621F45B,Justice Hill,BLT,LA,6,16,0,5,28,0,6,11.8
2025,6,457CD877879B,Kenneth Gainwell,PIT,CLV,6,22,0,6,14,0,6,11.8
2025,6,34FCDEBD8C4F,Emanuel Wilson,GB,CIN,3,11,0,1,-4,0,1,3.0
2025,6,B4D6AE0E5FE9,David Montgomery,DET,KC,4,24,0,2,37,0,2,4.9
