season,week,playerId,player,team,opponent,attempts,rushYds,rushTD,catches,recYds,recTD,targets,wo
2025,3,A1FAE334F0D8,RJ Harvey,DEN,LAC,2,2,0,3,14,0,3,5.4
2025,3,CAA3949E7F84,Bhayshul Tuten,JAX,HST,6,21,1,0,0,0,1,5.3
2025,3,4C918F545225,Tyler Goodson,IND,TEN,2,6,0,0,0,0,0,1.0
2025,3,B4C115479244,D'Andre Swift,CHI,DAL,13,33,0,3,45,0,3,13.4
2025,3,043044E82406,Jaylen Warren,PIT,NE,18,47,0,5,34,0,6,22.0
2025,3,D15FA71532C4,Quinshon Judkins,CLV,GB,18,94,1,1,1,0,1,13.7
2025,3,C217D13D16D1,TreVeyon Henderson,NE,PIT,11,28,0,3,19,0,3,9.8
2025,3,F7B061F16861,Zamir White,LV,WAS,5,19,0,1,4,0,2,5.4
2025,3,B05C9EC9F844,Emari Demercado,ARZ,SF,2,0,0,0,0,0,1,3.3
2025,3,1B0A0CB1A3AE,Trey Benson,ARZ,SF,10,42,0,3,9,0,3,10.2
2025,3,8407D6E02600,Bijan Robinson,ATL,CAR,13,72,0,5,39,0,6,15.2
2025,3,504C2B1E4DFB,De'Von Achane,MIA,BUF,12,62,0,7,29,0,9,20.9
2025,3,CF61FE77A2B5,Tyler Allgeier,ATL,CAR,1,4,0,1,0,0,2,3.5
2025,3,E7488DE1380B,Nick Chubb,HST,JAX,9,38,0,3,2,0,4,11.1
2025,3,9DB7F7D46227,Samaje Perine,CIN,MIN,4,21,0,0,0,0,0,2.0
2025,3,AE5656365044,Christian McCaffrey,SF,ARZ,17,52,0,10,88,0,14,33.3
2025,3,8521C53B1B22,Ashton Jeanty,LV,WAS,17,63,0,0,0,0,0,10.9
2025,3,273558699F22,Miles Sanders,DAL,CHI,9,41,0,3,12,0,3,11.4
2025,3,3C11932DD1C0,Javonte Williams,DAL,CHI,10,76,0,5,16,0,5,13.9
2025,3,2E7D2A105EDD,Kareem Hunt,KC,NYG,10,34,1,1,10,0,1,7.2
2025,3,5165588C71D0,Chuba Hubbard,CAR,ATL,17,73,0,2,3,0,3,15.2
2025,3,C3BA2C2AB960,Jacory Croskey-Merritt,WAS,LV,8,26,1,1,5,0,1,7.1
2025,3,DF29A0C08233,Rachaad White,TB,NYJ,5,12,0,1,2,0,1,4.7
2025,3,08EB70FAE886,J.K. Dobbins,DEN,LAC,11,83,1,1,0,0,2,9.2
2025,3,1432C4BBD3FE,Tyrone Tracy,NYG,KC,7,29,0,2,7,0,2,6.4
2025,3,DA18E0046DFA,Josh Jacobs,GB,CLV,16,30,0,5,44,0,9,24.6
2025,3,FF77C4DDF674,Jeremy McNichols,WAS,LV,4,78,1,0,0,0,0,2.0
2025,3,E79D9F42E18A,Ollie Gordon,MIA,BUF,9,38,1,0,0,0,0,7.0
2025,3,780B4EF0E7CF,Cam Akers,MIN,CIN,5,19,0,0,0,0,1,3.9
2025,3,F849C1013F23,Blake Corum,LA,PHI,8,53,0,0,0,0,0,4.8
2025,3,7742FDE5104E,Cam Skattebo,NYG,KC,10,60,1,6,61,0,8,18.5
2025,3,285FED1E9667,Rico Dowdle,CAR,ATL,10,30,1,1,8,0,1,9.8
2025,3,9BB4581CF866,Jordan Mason,MIN,CIN,16,116,2,0,0,0,0,11.3
2025,3,9DBA159B2F4B,Brian Robinson,SF,ARZ,2,22,0,0,0,0,0,1.8
2025,3,4CFA1FDF18BF,Brashard Smith,KC,NYG,2,13,0,0,0,0,1,3.3
2025,3,EA255E0A723B,Tahj Brooks,CIN,MIN,5,17,0,0,0,0,0,2.5
2025,3,2C4D2F6B9AEB,Kyren Williams,LA,PHI,20,94,0,2,18,1,3,17.6
2025,3,BEDDEFF1F411,Alvin Kamara,NO,SEA,18,42,0,1,14,0,2,12.6
2025,3,E853FA859020,James Conner,ARZ,SF,9,22,0,3,15,0,4,10.3
2025,3,7F3C2960FE88,Travis Etienne,JAX,HST,16,56,1,0,0,0,1,11.0
2025,3,95E9EB9FC5D5,James Cook,BUF,MIA,19,108,1,3,10,0,3,16.3
2025,3,B0C1AF0BED90,Tony Pollard,TEN,IND,16,45,1,2,14,0,4,16.3
2025,3,79F7D6DE9121,Antonio Gibson,NE,PIT,7,28,0,0,0,0,0,3.4
2025,3,F907829075A8,Najee Harris,LAC,DEN,6,28,0,0,0,0,0,2.9
2025,3,E39D01A0F997,Chris Rodriguez,WAS,LV,11,39,0,0,0,0,0,7.1
2025,3,386012FE709A,Ty Johnson,BUF,MIA,3,13,0,1,8,0,2,4.4
2025,3,4182CF74863A,Saquon Barkley,PHI,LA,18,46,0,4,9,0,5,21.3
2025,3,7A7D9CE2C60D,Zavier Scott,MIN,CIN,8,30,0,1,20,0,1,5.4
2025,3,19CAE063D6A2,Nate Carter,ATL,CAR,7,46,0,0,0,0,0,3.4
2025,3,CAFEDE7F7BC7,Kyle Monangai,CHI,DAL,6,16,0,1,4,0,1,6.1
2025,3,09B62884E1D1,Jacardia Wright,SEA,NO,5,20,0,0,0,0,0,2.5
2025,3,8CB22327EDF8,Devin Singletary,NYG,KC,4,11,0,0,0,0,0,2.0
2025,3,10AC7112CD7F,DJ Giddens,IND,TEN,1,3,0,0,0,0,0,0.5
2025,3,0D8DCC599173,Dylan Sampson,CLV,GB,1,2,0,0,0,0,0,0.5
2025,3,C31BEA33DDAC,Braelon Allen,NYJ,TB,6,30,0,2,17,0,2,6.7
2025,3,34FCDEBD8C4F,Emanuel Wilson,GB,CLV,6,25,0,0,0,0,0,2.9
2025,3,457CD877879B,Kenneth Gainwell,PIT,NE,4,16,1,1,10,0,1,4.3
2025,3,45C2510D9C7A,Julius Chestnut,TEN,IND,2,26,0,0,0,0,0,1.8
2025,3,B4D6AE0E5FE9,David Montgomery,DET,BLT,12,151,2,1,13,0,1,9.1
2025,3,FA276FD857AC,Omarion Hampton,LAC,DEN,19,70,1,6,59,0,6,19.9
2025,3,E3D4C99825DA,Bucky Irving,TB,NYJ,25,66,0,4,33,0,4,22.4
2025,3,E2538E4447A0,Chase Brown,CIN,MIN,10,3,0,4,17,0,5,13.2
2025,3,DE0D0BBF924B,Breece Hall,NYJ,TB,9,21,0,4,31,0,6,14.9
2025,3,AACD95B968F3,Dylan Laube,LV,WAS,3,2,0,0,0,0,1,3.0
2025,3,15623D89EFE6,Kenneth Walker,SEA,NO,16,38,2,1,12,0,1,12.8
2025,3,1BD0C4B968DD,Jahmyr Gibbs,DET,BLT,22,67,2,5,32,0,6,29.0
2025,3,867D259AFE66,Woody Marks,HST,JAX,6,27,0,1,9,0,2,6.8
2025,3,BD292F5DE2AC,George Holani,SEA,NO,10,27,0,2,15,0,2,7.9
2025,3,C69F491B5964,Jonathan Taylor,IND,TEN,17,102,3,3,16,0,4,18.5
2025,3,9E79453DBB7F,Kendre Miller,NO,SEA,7,27,0,2,9,0,2,6.4
2025,3,B6356D3BA0C1,Rhamondre Stevenson,NE,PIT,4,18,0,3,38,0,3,7.3
2025,3,252BBD0E44CB,Isiah Pacheco,KC,NYG,10,45,0,1,3,0,1,7.2
2025,3,5CC2D78CE9DF,Derrick Henry,BLT,DET,12,50,1,1,7,0,1,9.9
